Column1,Translation,Type
绯,Faye,Female (T-Doll)
针,Igla,Female (T-Doll)
M4,M4,Female (T-Doll)
丽萨,Lisa,Female
乌琪,Ruchey,Female (T-Doll)
乔乔,Jojo,Unknown
乔扎,Graurizard,N/A (Dragon)
佩莉,Peri,Female (T-Doll)
兰汀,Lentine,Female
刘莳,Liushih,Female (T-Doll)
卡萝,Kuro,Female (T-Doll)
卢卡,Luka,Male
夏安,Cheyanne,Female (T-Doll)
奇塔,Cheeta,Female (T-Doll)
妮特,Niter,Female
宴宁,Yanning,Female
幼熙,Yoohee,Female
星渊,Ateraxis,Character
朝晖,Zhaohui,Female
柯尼,Kenny,Male
梭鱼,Barracuda,
汤姆,Tom,Male
琳德,Lind,Female (T-Doll)
琼玖,Qiongjiu,Female (T-Doll)
知穗,Zhisui,Female (T-Doll)
秋桦,Qiuhua,Female (T-Doll)
索普,Soppo,Female (T-Doll)
索米,Suomi,Female
绛雨,Jiangyu,Female (T-Doll)
美玲,Mayling,Female
莱妮,Lainie,Female (T-Doll)
莱娅,Leva,Female (T-Doll)
莱娜,Lenna,Female (T-Doll)
萨珈,Saga,Female (Likely)
裘德,Jude,Male
闪电,Groza,Female (T-Doll)
霜降,Frostfall Squad,Organization
黛烟,Daiyan,Female
丹德莱,Dandelion,Female (AI/Doll)
佩妮泽,Poludnitsa,Female
克拉索,Krassov,Male
刘菁霞,Liu Jingxia,Female
可露凯,Klukai,Female (T-Doll)
吉塞拉,Gisela,Female
哈卜茜,Harpsy,Female
安吉莉,Anjelie,Female (T-Doll)
小那那,Little Nana,Female
巴希达,Balthilde,Female
干扰者,Intruder,Female (T-Doll)
断罪者,Sinbreaker,Item
李小姐,Miss Li,Female
杜莎妮,Dushevnaya,Female (T-Doll)
格琳娜,Kalin / Kalina,Female
梅兰妮,Melanie,Female
沃夫加,Wolfga,Male
洛贝拉,Robella,Female (T-Doll)
海伦娜,Helen,Female (T-Doll)
玛绮朵,Makiatto,Female (T-Doll)
瓦西尔,Vasily,Male
白烨戈,Beluga,Female (T-Doll)
米什缇,Mechty,Female
米蒂尔,Mityl,Female (T-Doll)
维克托,Vector,Female
维普蕾,Vepley,Female (T-Doll)
罗蕾莱,Loreley,Female (T-Doll)
艾莉莎,Elisa,Female
芙洛伦,Florence,Female (T-Doll)
赫丽安,Helian,Female
M4A1,M4A1,Female (T-Doll)
乌尔丽德,Ullrid,Female
伊格蕾塔,Eagletta,Female (T-Doll)
克罗丽科,Krolik,Female
塞布丽娜,Sabrina,Female
奇洛薇格,Chiloveig,Female
威玛西娜,Voymastina,Female (T-Doll)
帕那刻亚,Panakeia,Female (T-Doll)
托卡列夫,Tokarev,Female (T-Doll)
桑朵莱希,Centaureissi,Female (T-Doll)
珂狄赛普,Cordyceps,Female (T-Doll)
科德韦尔,Cordwell,Female
纳美西丝,Nemesis,Female
阿斯缇亚,Asteria,Female (T-Doll)
露尼西亚,Lunasia,Female
AA-12,AA-12,Female (T-Doll)
wz.29,wz.29,Female (T-Doll)
加藤英美里,Kato Emiri,Female
OTs-14,OTs-14,Female (T-Doll)
卢卡·皮尔斯,Luka Pierce,Male
乔纳森·史密斯,Jonathan Smith,Male
奥利维亚·柯林斯,Olivia Collins,Female
希丽雅,Cecilia,Female
哨兵,Sentinel,Class
火力,Sentinel,Class
护卫,Bulwark,Class
重装,Bulwark,Class
先锋,Vanguard,Class
支援,Support,Class
燃烧,Burn,Phase Attribute
腐蚀,Corrosion,Phase Attribute
水属性,Hydro,Phase Attribute
水力,Hydro,Phase Attribute
水,Hydro,Phase Attribute
冰冻,Freeze,Phase Attribute
冻结,Freeze,Phase Attribute
冰,Freeze,Phase Attribute
电击,Electric,Phase Attribute
电属性,Electric,Phase Attribute
电,Electric,Phase Attribute
人形,T-Doll,Term
战术人形,T-Doll,Term
精英人形,T-Doll,Term
标准人形,T-Doll,Term
格里芬,Griffin,Faction
艾莫号,Elmo,Faction
金翅雀,Kim Tước,Event Name
橄榄枝,Nhành Oliu,Event Name
1阶跃键, Expansion Key, Item
一阶跃键, Expansion Key, Item
2阶跃键, Expansion Key ver2, Item
二阶跃键, Expansion Key ver2, Item
贝丝蒂, Basti, Female (T-Doll)
心智统合,Tích Hợp Tâm Trí,Term
冗余碎片,Mảnh Dư Thừa,Item
少前2,GFL2,Hashtag
少前2追放,GFL2 Exilium,Hashtag
少女前线2,Girls' Frontline 2,Hashtag
指挥官,Chỉ huy,Term
坍塌晶条,Thanh Tinh Thể Sụp Đổ,Item
停机维护,Bảo trì ngừng máy,Term
客户端,client,Term
强制更新,cập nhật bắt buộc,Term
